trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0}",20,0,-81.98271271620624,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0}",25,0,-91.0872740993394,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",30,0,-105.9213624842244,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0}",25,0,-106.28162373480907,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-114.94044826913132,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0}",20,0,-237.0012829859414,"{0: 9, 1: 3, 2: 1, 3: 3, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0}",20,3,-126.80781450895932,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0}",25,0,-73.4161426413303,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0}",25,0,-149.01799341882077,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",25,0,-132.61978585082323,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0}",20,0,-88.59252520788857,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0}",25,0,-226.28652514888856,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0}",25,0,-138.8944534084957,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0}",25,0,-92.96127225761185,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",25,0,-76.99658254479951,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0}",20,0,-66.19731168269008,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0}",25,0,-167.60823078111173,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0}",25,0,-159.94620881623408,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-135.50739638594678,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0}",25,0,-253.9305900924837,"{0: 9, 1: 3, 2: 9, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 0}",20,0,-184.0834485087919,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
